repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state,changefile,addline,deleteline,fileChanges
Esri/calcite-design-system,chore: cherry-pick changes from main,https://github.com/Esri/calcite-design-system/pull/8258,2023-11-24T23:14:32Z,2023-11-26T08:46:10Z,1,30,MERGED,159,103362,25035,"MODIFIED:.github/ISSUE_TEMPLATE/accessibility.yml
MODIFIED:.github/ISSUE_TEMPLATE/bug.yml
MODIFIED:.github/ISSUE_TEMPLATE/enhancement.yml
MODIFIED:.github/ISSUE_TEMPLATE/refactor.yml
MODIFIED:.release-please-manifest.json
MODIFIED:.vscode/launch.json
MODIFIED:package-lock.json
MODIFIED:packages/calcite-components/calcite-preset.ts
MODIFIED:packages/calcite-components/conventions/README.md
MODIFIED:packages/calcite-components/package.json
MODIFIED:packages/calcite-components/readme.md
MODIFIED:packages/calcite-components/src/assets/styles/_sortable.scss
MODIFIED:packages/calcite-components/src/components.d.ts
MODIFIED:packages/calcite-components/src/components/action/action.scss
MODIFIED:packages/calcite-components/src/components/alert/alert.scss
MODIFIED:packages/calcite-components/src/components/alert/alert.stories.ts
MODIFIED:packages/calcite-components/src/components/alert/alert.tsx
MODIFIED:packages/calcite-components/src/components/color-picker/color-picker.tsx
MODIFIED:packages/calcite-components/src/components/combobox/assets/combobox/t9n/messages.json
MODIFIED:packages/calcite-components/src/components/combobox/assets/combobox/t9n/messages_en.json
MODIFIED:packages/calcite-components/src/components/combobox/combobox.scss
MODIFIED:packages/calcite-components/src/components/combobox/combobox.stories.ts
MODIFIED:packages/calcite-components/src/components/combobox/combobox.tsx
MODIFIED:packages/calcite-components/src/components/combobox/interfaces.ts
MODIFIED:packages/calcite-components/src/components/combobox/resources.ts
MODIFIED:packages/calcite-components/src/components/dropdown/dropdown.e2e.ts
MODIFIED:packages/calcite-components/src/components/dropdown/dropdown.scss
MODIFIED:packages/calcite-components/src/components/dropdown/dropdown.tsx
MODIFIED:packages/calcite-components/src/components/flow-item/flow-item.stories.ts
MODIFIED:packages/calcite-components/src/components/icon/icon.tsx
MODIFIED:packages/calcite-components/src/components/input-date-picker/input-date-picker.tsx
MODIFIED:packages/calcite-components/src/components/input-number/input-number.e2e.ts
MODIFIED:packages/calcite-components/src/components/input-number/input-number.tsx
MODIFIED:packages/calcite-components/src/components/input/input.e2e.ts
MODIFIED:packages/calcite-components/src/components/input/input.tsx
MODIFIED:packages/calcite-components/src/components/label/usage/Basic.md
MODIFIED:packages/calcite-components/src/components/list-item-group/list-item-group.scss
MODIFIED:packages/calcite-components/src/components/list-item/list-item.scss
MODIFIED:packages/calcite-components/src/components/list-item/list-item.tsx
MODIFIED:packages/calcite-components/src/components/list-item/resources.ts
MODIFIED:packages/calcite-components/src/components/list-item/utils.ts
MODIFIED:packages/calcite-components/src/components/list/list.scss
MODIFIED:packages/calcite-components/src/components/list/list.stories.ts
MODIFIED:packages/calcite-components/src/components/list/list.tsx
MODIFIED:packages/calcite-components/src/components/list/usage/Advanced.md
MODIFIED:packages/calcite-components/src/components/list/usage/Basic.md
MODIFIED:packages/calcite-components/src/components/list/usage/DragEnabled.md
MODIFIED:packages/calcite-components/src/components/list/usage/DragEnabledNested.md
MODIFIED:packages/calcite-components/src/components/list/usage/Grouped.md
ADDED:packages/calcite-components/src/components/list/usage/MultipleSelections.md
MODIFIED:packages/calcite-components/src/components/list/usage/Nested.md
MODIFIED:packages/calcite-components/src/components/panel/panel.stories.ts
MODIFIED:packages/calcite-components/src/components/popover/PopoverManager.ts
MODIFIED:packages/calcite-components/src/components/popover/popover.tsx
MODIFIED:packages/calcite-components/src/components/shell-panel/shell-panel.tsx
MODIFIED:packages/calcite-components/src/components/slider/slider.tsx
MODIFIED:packages/calcite-components/src/components/stack/stack.scss
MODIFIED:packages/calcite-components/src/components/stack/stack.stories.ts
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_ar.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_bg.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_bs.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_ca.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_cs.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_da.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_de.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_el.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_en.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_es.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_et.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_fi.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_fr.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_he.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_hr.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_hu.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_id.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_it.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_ja.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_ko.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_lt.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_lv.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_nl.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_no.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_pl.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_pt-BR.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_pt-PT.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_ro.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_ru.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_sk.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_sl.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_sr.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_sv.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_th.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_tr.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_uk.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_vi.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_zh-CN.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_zh-HK.json
MODIFIED:packages/calcite-components/src/components/stepper-item/assets/stepper-item/t9n/messages_zh-TW.json
MODIFIED:packages/calcite-components/src/components/stepper-item/stepper-item.scss
MODIFIED:packages/calcite-components/src/components/stepper-item/stepper-item.tsx
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_ar.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_bg.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_bs.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_ca.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_cs.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_da.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_de.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_el.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_en.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_es.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_et.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_fi.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_fr.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_he.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_hr.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_hu.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_id.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_it.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_ja.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_ko.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_lt.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_lv.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_nl.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_no.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_pl.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_pt-BR.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_pt-PT.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_ro.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_ru.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_sk.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_sl.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_sr.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_sv.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_th.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_tr.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_uk.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_vi.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_zh-CN.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_zh-HK.json
MODIFIED:packages/calcite-components/src/components/stepper/assets/stepper/t9n/messages_zh-TW.json
ADDED:packages/calcite-components/src/components/stepper/functional/step-bar.tsx
ADDED:packages/calcite-components/src/components/stepper/resources.ts
MODIFIED:packages/calcite-components/src/components/stepper/stepper.e2e.ts
MODIFIED:packages/calcite-components/src/components/stepper/stepper.scss
MODIFIED:packages/calcite-components/src/components/stepper/stepper.stories.ts
MODIFIED:packages/calcite-components/src/components/stepper/stepper.tsx
MODIFIED:packages/calcite-components/src/components/tooltip/TooltipManager.ts
MODIFIED:packages/calcite-components/src/components/tooltip/tooltip.tsx
MODIFIED:packages/calcite-components/src/demos/combobox.html
MODIFIED:packages/calcite-components/src/utils/dom.ts
MODIFIED:packages/calcite-components/src/utils/floating-ui.spec.ts
MODIFIED:packages/calcite-components/src/utils/floating-ui.ts
MODIFIED:packages/calcite-design-tokens/CHANGELOG.md
DELETED:packages/calcite-design-tokens/package-lock.json
MODIFIED:packages/calcite-design-tokens/package.json
ADDED:packages/calcite-design-tokens/support/tests/__snapshots__/index.spec.ts.snap
ADDED:packages/calcite-design-tokens/support/tests/index.spec.ts"
Esri/calcite-design-system,fix(combobox): ensure icon scales are consistent,https://github.com/Esri/calcite-design-system/pull/8075,2023-10-27T20:11:10Z,2023-10-30T17:45:27Z,1,4,MERGED,3,48,22,"MODIFIED:packages/calcite-components/src/components/combobox/combobox.scss
MODIFIED:packages/calcite-components/src/components/combobox/combobox.stories.ts
MODIFIED:packages/calcite-components/src/components/combobox/combobox.tsx"
Esri/calcite-design-system,chore: release main,https://github.com/Esri/calcite-design-system/pull/9706,2024-06-27T12:48:12Z,2024-06-27T13:03:29Z,1,2,MERGED,9,37,21,"MODIFIED:.release-please-manifest.json
MODIFIED:package-lock.json
MODIFIED:packages/calcite-components-angular/projects/component-library/CHANGELOG.md
MODIFIED:packages/calcite-components-angular/projects/component-library/package.json
MODIFIED:packages/calcite-components-react/CHANGELOG.md
MODIFIED:packages/calcite-components-react/package.json
MODIFIED:packages/calcite-components/CHANGELOG.md
MODIFIED:packages/calcite-components/package.json
MODIFIED:packages/calcite-components/readme.md"
Esri/calcite-design-system,ci: ensure all pre-release changelog sections are removed,https://github.com/Esri/calcite-design-system/pull/9342,2024-05-14T22:14:34Z,2024-05-14T22:21:15Z,0,1,MERGED,4,6,5,"RENAMED:.github/workflows/remove-prerelease-changelog-entries.yml
MODIFIED:documentation/monorepo.md
MODIFIED:package.json
RENAMED:support/removePrereleaseChangelogEntries.ts"
Esri/calcite-design-system,"feat(combobox-item, combobox-item-group): update padding indentation for nested groups & items",https://github.com/Esri/calcite-design-system/pull/10847,2024-11-22T21:13:19Z,2024-12-11T17:59:37Z,4,8,MERGED,7,86,77,"MODIFIED:packages/calcite-components/src/components/combobox-item-group/combobox-item-group.scss
MODIFIED:packages/calcite-components/src/components/combobox-item/combobox-item.scss
MODIFIED:packages/calcite-components/src/components/combobox-item/combobox-item.tsx
MODIFIED:packages/calcite-components/src/components/combobox/combobox.stories.ts
MODIFIED:packages/calcite-components/src/components/combobox/combobox.tsx
MODIFIED:packages/calcite-components/src/components/combobox/resources.ts
MODIFIED:packages/calcite-components/src/components/combobox/utils.ts"
Esri/calcite-design-system,build: resolve design-tokens dependency related test errors,https://github.com/Esri/calcite-design-system/pull/8447,2023-12-19T00:14:56Z,2023-12-20T18:14:35Z,2,7,MERGED,12,126,126,"MODIFIED:package-lock.json
MODIFIED:packages/calcite-components/src/components/split-button/split-button.tsx
MODIFIED:packages/calcite-components/support/patchESMResolution.ts
MODIFIED:packages/calcite-design-tokens/jest.config.json
MODIFIED:packages/calcite-design-tokens/package.json
MODIFIED:packages/calcite-design-tokens/support/tests/__snapshots__/index.spec.ts.snap
MODIFIED:packages/calcite-design-tokens/support/tests/index.spec.ts
MODIFIED:packages/calcite-design-tokens/support/token-transformer/helpers/createCalciteTokenFiles.spec.ts
MODIFIED:packages/calcite-design-tokens/support/token-transformer/helpers/getFiles.spec.ts
MODIFIED:packages/calcite-design-tokens/support/token-transformer/registerCalciteTransformers.ts
MODIFIED:packages/calcite-design-tokens/support/token-transformer/styleDictionary/transformer/utils.ts
DELETED:packages/calcite-design-tokens/support/token-transformer/styleDictionary/transformer/value/valueLineHeight.ts"
ForgeRock/forgerock-web-login-framework,feat(ping-protect): implement-ping-protect,https://github.com/ForgeRock/forgerock-web-login-framework/pull/327,2024-04-25T22:42:32Z,2024-05-21T22:57:30Z,21,5,MERGED,30,16964,8232,"MODIFIED:.github/workflows/ci.yml
MODIFIED:.github/workflows/release.yml
MODIFIED:.svelte-kit/tsconfig.json
ADDED:merge.config.ts
MODIFIED:package-lock.json
MODIFIED:package.json
MODIFIED:package/index.js
MODIFIED:src/lib/components/primitives/spinner/spinner.svelte
MODIFIED:src/lib/journey/_utilities/callback-mapper.svelte
MODIFIED:src/lib/journey/_utilities/data-analysis.utilities.ts
MODIFIED:src/lib/journey/callbacks/device-profile/device-profile.mock.ts
MODIFIED:src/lib/journey/callbacks/password/base.svelte
ADDED:src/lib/journey/callbacks/ping-protect-evaluation/ping-evaluate.mock.ts
ADDED:src/lib/journey/callbacks/ping-protect-evaluation/ping-protect-evaluation.svelte
ADDED:src/lib/journey/callbacks/ping-protect-initialize/ping-initialize.mock.ts
ADDED:src/lib/journey/callbacks/ping-protect-initialize/ping-protect-initialize.svelte
MODIFIED:src/lib/journey/journey.interfaces.ts
MODIFIED:src/lib/journey/journey.store.ts
MODIFIED:src/lib/journey/stages/_utilities/stage.utilities.ts
MODIFIED:src/lib/journey/stages/webauthn.svelte
MODIFIED:src/lib/locale.store.ts
MODIFIED:src/lib/widget/_utilities/api.utilities.ts
MODIFIED:src/lib/widget/index.svelte
MODIFIED:src/lib/widget/interfaces.ts
MODIFIED:src/lib/widget/types.ts
MODIFIED:src/locales/us/en/index.json
MODIFIED:src/routes/e2e/widget/modal/+page.svelte
MODIFIED:tests/widget/inline/widget-device-profile.test.js
ADDED:tests/widget/modal/widget-modal.ping-protect.test.ts
MODIFIED:tsconfig.json"
GCTC-NTGC/gc-digital-talent,[Fix] Update team members page permissions,https://github.com/GCTC-NTGC/gc-digital-talent/pull/8890,2023-12-21T17:16:37Z,2023-12-21T23:51:24Z,3,4,MERGED,7,148,93,"MODIFIED:apps/web/src/pages/Teams/TeamMembersPage/TeamMembersPage.tsx
MODIFIED:apps/web/src/pages/Teams/TeamMembersPage/components/AddTeamMemberDialog.tsx
MODIFIED:apps/web/src/pages/Teams/TeamMembersPage/components/EditTeamMemberDialog.tsx
ADDED:apps/web/src/pages/Teams/TeamMembersPage/components/useAvailableRoles.ts
ADDED:apps/web/src/pages/Teams/TeamMembersPage/components/useAvailableUsers.ts
MODIFIED:apps/web/src/pages/Teams/TeamMembersPage/helpers.tsx
MODIFIED:packages/graphql/codegen.ts"
GCTC-NTGC/gc-digital-talent,Warning: Can't update component UserProfilePrintButton,https://github.com/GCTC-NTGC/gc-digital-talent/pull/5059,2022-12-08T21:55:43Z,2022-12-09T16:47:39Z,0,4,MERGED,10,219,354,"MODIFIED:frontend/admin/src/js/components/poolCandidate/poolCandidatesOperations.graphql
MODIFIED:frontend/admin/src/js/components/user/GeneralInformationTab/AddToPoolDialog.tsx
MODIFIED:frontend/admin/src/js/components/user/GeneralInformationTab/ChangeDateDialog.tsx
MODIFIED:frontend/admin/src/js/components/user/GeneralInformationTab/ChangeStatusDialog.tsx
MODIFIED:frontend/admin/src/js/components/user/GeneralInformationTab/GeneralInformationTab.tsx
DELETED:frontend/admin/src/js/components/user/GeneralInformationTab/generalInfoOperations.graphql
DELETED:frontend/admin/src/js/components/user/UserProfile.tsx
MODIFIED:frontend/admin/src/js/components/user/UserProfilePrintButton.tsx
MODIFIED:frontend/admin/src/js/components/user/ViewUser.tsx
MODIFIED:frontend/admin/src/js/components/user/userOperations.graphql"
GCTC-NTGC/gc-digital-talent,[Fix] Switch to variable strings for pool name,https://github.com/GCTC-NTGC/gc-digital-talent/pull/6836,2023-06-07T19:46:14Z,2023-06-07T20:04:05Z,0,1,MERGED,2,30,19,"MODIFIED:apps/web/src/lang/fr.json
MODIFIED:apps/web/src/pages/Applications/ApplicantDashboardPage/components/QualifiedRecruitments/QualifiedRecruitmentStatus.tsx"
GCTC-NTGC/gc-digital-talent,"[Fix] ""X"" button clears multi combobox input",https://github.com/GCTC-NTGC/gc-digital-talent/pull/9184,2024-02-01T15:08:08Z,2024-02-01T18:48:59Z,0,1,MERGED,1,2,3,MODIFIED:packages/forms/src/components/Combobox/Multi.tsx
Khan/wonder-blocks,Add flow types for testing-library modules,https://github.com/Khan/wonder-blocks/pull/1289,2022-01-13T16:33:31Z,2022-01-13T16:43:23Z,5,1,MERGED,2,714,0,"ADDED:flow-typed/npm/@testing-library/jest-dom_v5.5.x.js
ADDED:flow-typed/npm/@testing-library/react_v11.x.x.js"
Khan/wonder-blocks,Version Packages,https://github.com/Khan/wonder-blocks/pull/1857,2023-05-03T17:00:05Z,2023-05-03T17:08:35Z,3,1,MERGED,9,16,16,"DELETED:.changeset/grumpy-colts-own.md
DELETED:.changeset/ninety-yaks-sparkle.md
DELETED:.changeset/shaggy-pillows-cheat.md
DELETED:.changeset/smooth-deers-think.md
DELETED:.changeset/sour-spies-turn.md
MODIFIED:packages/wonder-blocks-banner/CHANGELOG.md
MODIFIED:packages/wonder-blocks-banner/package.json
MODIFIED:packages/wonder-blocks-link/CHANGELOG.md
MODIFIED:packages/wonder-blocks-link/package.json"
Khan/wonder-blocks,Update gen-flow-types.ts to better handle JSX.LibraryManagedAttributes,https://github.com/Khan/wonder-blocks/pull/1801,2023-03-15T21:18:20Z,2023-03-15T22:14:53Z,4,2,MERGED,2,6,1,"ADDED:.changeset/metal-games-compete.md
MODIFIED:build-settings/gen-flow-types.ts"
Khan/wonder-blocks,Version Packages,https://github.com/Khan/wonder-blocks/pull/1680,2022-12-22T17:01:26Z,2022-12-22T22:56:34Z,4,1,MERGED,14,27,22,"DELETED:.changeset/healthy-impalas-wait.md
DELETED:.changeset/loud-crabs-tell.md
DELETED:.changeset/rare-elephants-dream.md
DELETED:.changeset/selfish-gifts-destroy.md
DELETED:.changeset/warm-days-rescue.md
MODIFIED:packages/wonder-blocks-banner/CHANGELOG.md
MODIFIED:packages/wonder-blocks-banner/package.json
MODIFIED:packages/wonder-blocks-birthday-picker/CHANGELOG.md
MODIFIED:packages/wonder-blocks-birthday-picker/package.json
MODIFIED:packages/wonder-blocks-button/CHANGELOG.md
MODIFIED:packages/wonder-blocks-button/package.json
MODIFIED:packages/wonder-blocks-dropdown/package.json
MODIFIED:packages/wonder-blocks-form/CHANGELOG.md
MODIFIED:packages/wonder-blocks-form/package.json"
